movie_id	audience_score	critic_score	actor_names	actor_links	synopsis	In Theaters	Genre	Studio	Directed By	Runtime	Box Office	Rating	Written By
The Second Chance	78%	40%	Michael W. Smith,Jeff Obafemi Carr,Jonathan Thomas,J. Don Ferguson,Lisa Arrindell,David Alford,Henry Haggard,Jonathan Taylor Thomas,Kenda Benward,Calvin Hobson,Bobby Daniels,Shirley Cody,Peggy Walton-Walker,Villa Steele,Vilia Steele,Kobie Jarmon,Erin Hemphill,Yuri Cunza,Vincent Ndikumana,Rico Moody,Robert Fitzgerald,JD Parker,Helen Shute-Pettaway,Todd Matt Chiorini,Henry O. Arnold,Big Fella,Dale Thompson	NA	NA	Feb 17, 2006 wide	Drama,Faith & Spirituality	Sony Pictures	Steve Taylor	102 minutes	$370,430	PG-13 (for some drug references)	Steve Taylor, Chip Arnold, Ben Pearson, Henry O. Arnold
The Mostly Unfabulous Social Life of Ethan Green	58%	26%	Daniel Letterle,Meredith Baxter,David Monahan,Diego Serrano,Dean Shelton,Shanola Hampton,Joel Brooks,Richard Riehle,Scott Atkinson,Rebecca Lowman,Ramon De Ocampo,Sean Faris,Mariah Bess,Boti Ann Bliss,Chase Ellison,Gage Vernon,Heather Ogden,Lenora May,Tod Abrams,Micah McCain,Paul J. Coyne,Audrey Capotosta,Russell Martin,Phil de Carlo,Wendy H. Meier,Skyler Hynes,Elsa Raven	NA	NA	Jun 16, 2006 wide	Comedy,Drama	Regent Releasing	George Bamber	88 minutes	NA	R (for strong sexual content and language)	David Vernon
Stay Alive	55%	9%	Jon Foster,Frankie Muniz,Samaire Armstrong,Sophia Bush,Jimmi Simpson,Adam Goldberg,Milo Ventimiglia,Wendell Pierce,Billy Slaughter,Nicole Oppermann,Nicole Opperman,April Wood,Monica Monica,Rio Hackford,Billy Louviere,J. Richey Nash,Maria Kalinina,Lauren Lorbeck,Veronica Mosgrove,Rick Green,Jim Bishop,James Haven,Amber Nicolai	NA	NA	Mar 24, 2006 wide	Horror,Mystery & Suspense	Buena Vista	William Brent Bell	86 minutes	$22,999,535	PG-13 (for horror violence, disturbing images, language, brief sexual and drug content)	William Brent Bell, Matthew Peterman
Requiem	66%	86%	Sandra Hueller,Sandra Hüller,Imogen Kogge,Imogen Kog,Burghart Klaussner,Anna Blomeier,Karl Klinger,Nicholas Reinke,Jens Harzer,Walter Schmidinger,Friederike Adolph,Irene Kugler,Johann Adam Oest,Eva Loebau,Eva Löbau	NA	NA	Oct 20, 2006 limited	Art House & International,Drama,Horror,Mystery & Suspense	IFC First Take	Hans-Christian Schmid	92 minutes	NA	NR	Bernd Lange
Gui si	57%	40%	Chen Chang,Yosuke Eguchi,Kar Yan Lam,Barbie Hsu,Chen Po-Lin,Chun-Ning Chang,Fang Wen,Chen Kuan-po	NA	NA	May 24, 2006 wide	Art House & International,Horror,Mystery & Suspense	NA	Chao-Bin Su	117 minutes	NA	PG-13	NA
Park	49%	36%	William Baldwin,Ricki Lake,Dave Fenner,Cheri Oteri,Melanie Lynskey,Izabella Miko,Anne Dudek,Trent Ford,Maulik Pancholy,David Fenner,Dagney Kerr,Anthony 'Treach' Criss,Francesco Quinn,Alfred Woodley,Joel J. Edwards,Imelda Corcoran	NA	NA	Jun 12, 2006 wide	Art House & International,Comedy,Drama	Mello Pictures	Kurt Voelker	97 minutes	NA	R (For sexuality, language and some drug use)	Kurt Voelker
The 4th Dimension	31%	63%	Louis Morabito,Miles Williams,Karen Peakes,Kate LaRoss	NA	NA	Apr 1, 2006 wide	Drama,Science Fiction & Fantasy	NA	Tom Mattera, Dave Mazzoni	82 minutes	NA	NR	Tom Mattera, Dave Mazzoni
Interview	55%	57%	Sienna Miller,Steve Buscemi,Michael Buscemi,Tara Elders	NA	NA	Jul 13, 2007 wide	Art House & International,Drama	Sony Classics	Steve Buscemi	84 minutes	$252,499	R (for language including sexual references, and some drug use)	Steve Buscemi, David Schechter
American Anthem	64%	0%	Mitch Gaylord,Janet Jones,John Aprea,Michelle Phillips,Tiny Wells,Michael Pataki,Patrice Donnelly,R.J. Williams,Katherine Gosney,Stacy Maloney,Peter Tramm,Rosemary Forsyth,Maria Anz,Googy Gress,Jenny Ester,Andrew M. White,Popeye the Dog,Dick McGarvin,Mark Oates,Jan Claire,Megan Marsden,Li Yuejiu,Bruce Burns,Lisa Marie Campos,Bob Gauthier,Lisa Green,Chris Riser,Lyn Schmitt,Kent Weaver,Stephen Elliott,Tim Darling,Jody Raymond,Matt Arnot,Scott Barclay,Tony Russo,Mike Bowers,Phillippe Chartrand,Mike Sims,Glen Cooper,John Eccelston,Mark Ewers,Brett Finch,Doug Foerch,Steve Friedman,Rick Hall,Paul Hartman,Celeste Kelty,Tom Kennedy,Jeff Knepper,John Levy,Wes Lewis	NA	NA	Jun 1, 1986 wide	Action & Adventure,Documentary,Drama	Lorimar Home Video	Albert Magnoli	110 minutes	NA	PG-13 (adult situations/language)	Evan Archerd, Albert Magnoli, Jeff Benjamin
The Ten	40%	37%	Paul Rudd,Gretchen Mol,Adam Brody,Famke Janssen,Winona Ryder,Oliver Platt,Jessica Alba,Liev Schreiber,Justin Theroux,Ron Silver,Ken Marino,A.D. Miles,Rob Corddry,David Wain,Joe Lo Truglio,Janeane Garofalo,Todd Holoubek,Mather Zickel,Michael Ziegfield,Jason Sudeikis,Ali Marsh,Edmond Genest,Jon Hamm,Cedric Sanders,H. Jon Benjamin,Arlen Escarpeta,Bobby Cannavale,Rashida Jones,Robert Ben Garant,Andrew Dawson,John Patrick Barry,Zandy Hartig,Michael Ian Black,Michael Showalter,John Tormey,Charlie McDermott,Joe Passaro,Jerry Grayson,Zak Orth,Reed Birney,Jason Antoon	NA	NA	Jan 18, 2007 wide	Comedy	ThinkFilm	David Wain	99 minutes	$546,961	R (for pervasive strong violence, language and some drug use)	Ken Marino, David Wain
The Happening	24%	18%	Mark Wahlberg,Zooey Deschanel,John Leguizamo,Ashlyn Sanchez,Betty Buckley,Spencer Breslin,Robert Bailey Jr.,Frank Collison,Jeremy Strong,Alan Ruck,Victoria Clark,M. Night Shyamalan,Robert Lenzi,Alison Folland,Kristen Connolly,Cornell Womack,Curtis L. McClarin,Derege Harding,Kerry O'Malley,Shayna Levine,Stéphane Debac,Cyrille Thouvenin,Babita Hariani,Alicia Taylor,Edward James Hyland,Armand Schultz,Stephen Singer,Sophia Burke,Alex Van Kooy,Charlie Saxton,Kathy Hart,Lisa Gunn,Rick Foster,Marc H. Glick,Don Castro,Bill Chemerka,Jan Ellis,Jann Ellis,Whitney Sugarman,Mary Ellen Driscoll,Greg Wood,Peter Appel,Eoin O'Shea,Michael Quinlan,Lyman Chen,Brian O'Halloran,Megan Mazaika,Richard Chew,Keith E. Bullard,Joel de la Fuente,Ashley Brimfield,Mara Hobel,James "Jimbo" Breen,James Breen,Carmen Bitonti,Brian Anthony Wilson,Greg Smith Aldridge,Ukee Washington,John Ottavino,Sid Doherty,Wes Heywood,Nancy Sokerka,Julia Yorks,Bill Shusta,Kirk Penberthy,Alex Craft,Allie Habberstad	NA	NA	Jun 11, 2008 wide	Drama,Mystery & Suspense,Science Fiction & Fantasy	20th Century Fox	M. Night Shyamalan	90 minutes	$64,500,000	R (for violent and disturbing images)	M. Night Shyamalan
Molière	79%	70%	Romain Duris,Édouard Baer,Fabrice Luchini,Laura Morante,Ludivine Sagnier,Fanny Valette,Gilian Petrovski,Melanie Dos Santos,Sophie-Charlotte Husson,Arié Elmaleh,Gonzague Montuel,Gilian Petrovsky,Eric Berger,Anne Suarez,Annelise Hesme,Luc Tremblais,Nicolas Vaude,Philippe Du Janerand,Isabelle Caubère,Pierre Laplace,Wilfred Benaiche,François Civil,Jean-Michel Lahmi,Marie Gili-Pierre,Francis Van Litsenborgh,Yves Robin,François Toumarkine,Isabelle Vitari,Antoine Blanquefort,Caroline Gillain,Daphné de Quatrebarbes,Jean-Claude Jay	NA	NA	Jul 27, 2007 wide	Comedy	Sony Pictures Classics	Laurent Tirard, Laurent Sivot	121 minutes	$457,677	PG-13 (for some sexual content)	Laurent Tirard, Grégoire Vigneron, Fanny Valette, Jean-Claude Jay
Spiral	59%	50%	Joel David Moore,Amber Tamblyn,Zachary Levi,Tricia Helfer,David Müller,Annie Neal,Arlene Ancheta,Jeremy Danial Boreing	NA	NA	Jan 27, 2007 wide	Drama,Mystery & Suspense	Anchor Bay Entertainment	Adam Green, Joel David Moore	90 minutes	NA	PG-13 (for disturbing behavior, violence, some partial nudity and language)	Joel David Moore, Jeremy Danial Boreing
The Cool School	62%	92%	Jeff Bridges,John Baldessari,Dennis Hopper,Robert Irwin,Frank O. Gehry,Edward Ruscha,Dean Stockwell,David LaFaille,Peter Plagens,Ed Bereal,William Claxton,Irving Blum,Billy Al Bengston,Eddie Moses,Larry Bell,Walter Hopps,Ed Kienholz,Ken Price	NA	NA	Mar 7, 2008 wide	Documentary,Musical & Performing Arts	Arthouse Films	Morgan Neville	86 minutes	NA	NR	Kristine Mckenna, Morgan Neville
Pathology	39%	43%	Milo Ventimiglia,Michael Weston,Alyssa Milano,Lauren Lee Smith,Johnny Whitworth,John De Lancie,Mei Melançon,Keir O'Donnell,Buddy Lewis,Dan Callahan,Larry Drake	NA	NA	Apr 18, 2008 wide	Drama,Mystery & Suspense	MGM	Marc Scholermann, Marc Schoelermann	94 minutes	NA	R (for disturbing and perverse behavior throughout, including violence, gruesome images, strong sexual content, nudity, drug use and language)	Brian Taylor, Mark Neveldine
Road to Victory	70%	75%	Mike Reilly,Julia Anderson,Winston Brown	NA	NA	Mar 18, 2007 wide	Art House & International,Drama,Sports & Fitness	Vanguard	Mike Reilly	99 minutes	NA	NR	Mike Reilly
The Eye	43%	22%	Jessica Alba,Alessandro Nivola,Parker Posey,Rade Serbedzija,Fernanda Romero,Rachel Ticotin,Obba Babatundé,Danny Mora,Chloë Grace Moretz ,Brett Haworth,Kevin K. Shah,Tamlyn Tomita,Esodie Geiger,Karen Austin,Ryan J. Pezdirc,Brett O'Mara,Landall Goolsby,Sarah E. Baker,Laura Slowinski,Richard Redlefsen,Amanda Shamis,Kisha Sierra,Mark Bankins,David Milchard,Kimani Ray Smith,Heather Doerksen,Peter King,Tegan Moss,Kam Hing Chau,Jasmin Dring,James Spencer,Ingrid M. Nelson,Daniel Romero,Zak Santiago,Juan Carlos Cantu,Mike Elliott,Mia Stallard,Jane E. Goold,Tone Forrest,Danielle Lozeau	NA	NA	Feb 1, 2008 wide	Drama,Horror,Mystery & Suspense	Lionsgate Films	David Moreau, Xavier Palud	97 minutes	$31,400,000	PG-13 (for violence/terror and disturbing content)	Sebastian Gutierrez, Hillary Seitz
Randy and the Mob	38%	56%	Walton Goggins,Burt Reynolds,Bill Nunn,Ray McKinnon,Tim DeKay,Brent Briscoe,Sam Frihart,Paul Ben-Victor,Lisa Blount	NA	NA	Oct 13, 2007 wide	Comedy,Documentary	Capricorn Pictures	Ray McKinnon	91 minutes	NA	PG (for thematic elements, mild violence, language and momentary smoking)	Ray McKinnon
Black Irish	57%	31%	Michael Angarano,Brendan Gleeson,Tom Guiry,Melissa Leo,Emily VanCamp,Michael Rispoli,Francis Capra,Finn Curtin,Scott Winters,John Fiore,Steve Flynn,Joanna Herrington,David Ian	NA	NA	Oct 26, 2007 wide	Drama	Anywhere	Brad Gann	94 minutes	NA	R (for some language and brief violence)	Brad Gann
Powder Blue	41%	25%	Jessica Biel,Forest Whitaker,Ray Liotta,Patrick Swayze,Kris Kristofferson,Eddie Redmayne,Lisa Kudrow,Alejandro Romero,Sanaa Lathan,Chandler Canterbury,Jeffery Adam Baker,Navid Negahban,Ravi Patel,Billy Worth,Don Swayze,Ben Bray,Joe Holt,L. Scott Caldwell,Mandy June Turpin,Armando Coslo,Riki Lindhome,Jesse Henecke,Ana Berry,Leyna Nguyen,Chad Christopher Tucker,Soledad Campos,Clent Bowers,Danvy Pham	NA	NA	May 8, 2009 wide	Drama	Speakeasy Releasing	Timothy Linh Bui	108 minutes	NA	R (for sexual content, nudity, language and some drug use)	Timothy Linh Bui, Stephane Gauger
Rails & Ties	58%	34%	Kevin Bacon,Marcia Gay Harden,Miles Heizer,Marin Hinkle,Eugene Byrd,Bonnie Root,Steve Eastin,Laura Cerón,Margo Martindale,Kathryn Joosten,Steven M. Porter,Jim Cody Williams,Kerri Randles,J. Stephen Peace,Robert Harvey,Michael Otis,Ernest Harden Jr.,Mike McCaul,Maya Goldsmith,Michael Raynor,Micky Levy,John Nielsen,Dennis Napolitano,Mary Beth McDade,Brian Bogulski,Jade Marx,Nathan Kornelis,Dalton Stumbo	NA	NA	Oct 26, 2007 wide	Drama	Warner Independent	Alison Eastwood	101 minutes	NA	PG-13 (for mature thematic elements, an accident scene, brief nudity and momentary strong language)	Micky Levy
Mr. Untouchable	54%	73%	Nicky Barnes,Leon "Scrap" Batts,Thelma Grant,Joseph "Jazz" Hayden,Jackie Hayden,Carole Hawkins,Frank James,David Breitbart,Don Ferrarone,Louie Diaz,Bobby Nieves,Robert Geronimo,Robert Fiske Jr.,Tom Sear,Benito Romano,Louie Jones,Fred Ferretti	NA	NA	Oct 26, 2007 wide	Documentary	Magnolia Pictures	Marc Levin	92 minutes	NA	R (for pervasive drug content, strong language, some violent images and brief nudity)	NA
Skid Row	54%	83%		NA	NA	Aug 24, 2007 wide	Documentary,Special Interest	Screen Media Films	Ross Clarke, Niva Dorell, Marshall Tyler	90 minutes	NA	R (for drug content and language)	NA
Appaloosa	54%	77%	Ed Harris,Viggo Mortensen,Renée Zellweger,Jeremy Irons,Luce Rains,James Tarwater,Boyd Kestner,Gabriel Marantz,Cerris Morgan-Moyer,James Gammon,Timothy Spall,Lance Henriksen,Tom Bower,Bobby Jauregui,Ariadna Gil,Jim Tarwater,Timothy V. Murphy,Bob L. Harris,Benjamin Rosenshein,Erik J. Bockemeier,Fred Hice,Neil Summers,Tim Carroll,Bounthanh Xaynhachack,Art Usher,Cliff Gravel,Mike Watson,Rex Linn,Corby Griesenbeck,Adam Nelson,Daniel T. Parker,Ed Pennybacker,Alvin William "Dutch" Lunak,Martin Connelly,Danny Edmo,Argos Maccallum,Cynthia Huerta,Charlene Adams,David Bard,Maria J. Bethke,Scott Brooks,Stephen Chomko,Robert Coleby,Charles Culberson,Robert Down,Jackie Fleming,Jim Granger,Nancy Ann Hibbs,Nick Johnson,Glen Kappy,Kevin Kinsner,Norm Lee,Loretta Lewis,Skip Long,Tom McFarlane,Dani McNutt,Sylvie Mortenson,Sandy Nickal,Kyle Osborne,Hunter Lee Pimparapana,Marvin Rath,Randall Sauls,Claire Schwebke,J. Nathan Simmons,Chloe Slator,John Turner,Walter Bailey,Ernest Andreas,Ian Bell,Todd Bethke,Martin Callahan,Cynthia Clark,Lowell Crawford,Timothy David,Flynn-Bella Ericson,Dennis Foulkrod,Ruben Haddix,Jerrall Hinds,Taryn Johnson,Jeff Kimerling,Daniel Krieger,Kerry Lee,Isabelle Leustig,Denise Lynch,Diana McGuerty,Diana Minfa,Ernest Moya,Michael Max Norris,Trevor Osborn,Michael Neal Powell,L.C. Read,Daphne D. Ross,Darrell Schmidt,Cecily Kuehl Shank,Frankey Singzilay,Isabel Slator,Elizabeth Ann Tuttle,Kristin Walter,David Jensen,Tom Larson,Matthew E. Montoya,Michael Clark,Jerry Fuentes,Tom Johnson,Alex Edmo,Girard Swan,Herman Endito,Alicia Williams,Heather Antonio,Daniel Jon Bergman,Miles Blackman,Mabel Jin Chin,Leonaldan Codanti,Jake Crellin,Rachel De la Torre,Chuck Ferran,Christopher Frechette,Bruce Harders,Perry Jasper,Dale Kappy,Kim Kimerling,Xander Laird,Michael Lente,Jennae Linnell,Lynn Macri,Henry McKeighen,Kim Montoya,Kevin New,Frank Nunn,Dara Osborne,Kristine Rael,Steve Rick,Tom E. Rostkowski,Yvonne Schmidt,Carol Sieber,Edward Sipler,Fionn Thelen,Madeline Walter,J.C. Augare,Anderson Chee,Wes Trudell,Kiela Bird,Bud Connley,Jerry Hardy,Les Schesser,Larry Hinsley,Frank Spencer,Adam Honeyfield,Greg Stevenson	NA	NA	Oct 3, 2008 wide	Action & Adventure,Western	Warner Bros. Pictures	Ed Harris	115 minutes	$20,157,730	R (for some violence and language)	Robert Knott
Married Life	36%	55%	Pierce Brosnan,Chris Cooper,Patricia Clarkson,Rachel McAdams,David Wenham,David Richmond-Peck,Erin Boyes,Terence Kelly,Sheila Paterson,Pauline Crawford,Elijah St. Germain,Rebecca Codling,Timothy Webber,Dolores Drake,Malcom Boddington,Sean Tyson,Ty Olsson,Anna Williams,Kathleen Duborg,Suzanne Ristic,Mike Cook,Fred Keating,Dale Floyd,Alex Stevens	NA	NA	Mar 7, 2008 limited	Comedy,Drama,Mystery & Suspense,Romance	Sony Classics	Ira Sachs	90 minutes	$1,197,472	PG-13 (for some thematic elements and a scene of sexuality)	Ira Sachs, John Bingham, Oren Moverman
Untraceable	52%	16%	Diane Lane,Billy Burke,Colin Hanks,Joseph Cross,Mary Beth Hurt,Peter Barent Lewis,Tyrone Giordano,Perla Haney-Jardine,Tim De Zarn,Christopher Cousins,Chris Cousins,Jesse Tyler Ferguson,Trina Adams,Brynn Baron,John Breen,Dan Callahan,Erin Carufel,Ryan Deal,Marilyn Deutsch,Gray Eubank,Pete Ferryman,Kirk Mouser,David Freitas,Betty Moyer,Katie O'Grady,West A. Helfrich,Jamal N. Qutub,Zachary Hoffman,Sarah Brillhart,Diana Brillhart,Ryan Hopkins,Len Huynh,Jim Hyde,Dax Jordan,Dan Liu,Kimberly Maus,Michael Smith,Kerry Tomlinson,David Wilson,Allan Wilson	NA	NA	Jan 25, 2008 wide	Drama,Horror,Mystery & Suspense	Sony/Screen Gems	Gregory Hoblit	101 minutes	$28,687,835	R (for some prolonged sequences of strong gruesome violence, and language)	Allison Burnett, Robert Fyvolent, Mark R. Brinker
The Rocker	46%	41%	Lonny Ross,Rainn Wilson,Christina Applegate,Josh Gad,Teddy Geiger,Emma Stone,Jane Lynch,Jon Cor,Steve Adams,Jeff Garlin,Howard Hessman,Talia Russo,Nick Spencer,Bradley Cooper,Jason Sudeikis,Samantha Weinstein,Will Arnett,Fred Armisen,Ed Helms	NA	NA	Jun 12, 2008 wide	Comedy,Drama	Fox Atomic	Peter Cattaneo	102 minutes	$6,339,401	PG-13 (for drug and sexual references, nudity and language)	Maya Forbes, Wallace Wolodarsky
Priest	46%	15%	Paul Bettany,Maggie Q,Cam Gigandet,Lily Collins,Christopher Plummer,Karl Urban,Brad Dourif,Stephen Moyer,Alan Dale,Mädchen Amick,Jacob Hopkins,Dave Florek,Joel Polinsky,Josh Wingate,Jon Braver,Casey Pieretti,Theo Kypri,John Griffin,David Backhaus,Roger Stoneburner,David Bianchi,Tanoai Reed,Arnold Chon,Austin Priester,Marilyn Brett,Kanin J. Howell,Julie Mond,Michael D. Nye,Raynor Scheine,Kevin T. McCarthy,Boyuen Lou,Anthony Azizi,Pramod Kumar,Lafayette R. Dorsey, Sr.	NA	NA	May 13, 2011 wide	Action & Adventure,Horror,Mystery & Suspense,Science Fiction & Fantasy,Western	Screen Gems/SONY PICTURES	Scott Stewart	83 minutes	$29,100,000	PG-13 (for intense sequences of violence and action, disturbing images and brief strong language)	Scott Stewart, Cory Goodman
The Broken	26%	49%	Lena Headey,Richard Jenkins,Ulrich Thomsen,Melvil Poupaud,Michelle Duncan,Asier Newman,Daren Elliott Holmes,Howard Ward,William Armstrong,Damian O'Hare	NA	NA	NA	Horror,Mystery & Suspense	After Dark Films	Sean Ellis (II)	88 minutes	NA	R (for some violence, brief sexuality/nudity and language)	Sean Ellis (II)
Sugar	80%	92%	Algenis Perez Soto,Alina Vargas,André Holland,Ellary Porterfield,Ann Whitney,Richard Bull,Jose Rijo,Jaime Tirelli,Rayniel Rufino,Kelvin Leonardo Garcia,Kevin Leonardo Garcia,Michael Gaston,Marcos Rosa,Walki Cuevas,Santo Silvestre,Emmanuel Nanita Carvajal,Cesar Emilio Minaya C.,Joendy Peña Brown,Jaime Terelli,Karl Bury,Zaida Alexandra Hernandez,Lilin Soto Gonzales,Dioni Feliciano,Teodosia Reyes,Walky Alvarez,Letilier A. Foy Jr.,Victor Manuel Adon	NA	NA	Jan 21, 2008 wide	Drama,Sports & Fitness	Sony Classics	Anna Boden, Ryan Fleck	114 minutes	$1,037,595	R (for language, some sexuality and brief drug use)	Ryan Fleck, Anna Boden
G-Force	39%	22%	Nicolas Cage,Sam Rockwell,Jon Favreau,Steve Buscemi,Tracy Morgan,Dee Bradley Baker,Bill Nighy,Will Arnett,Zach Galifianakis,Kelli Garner,Tyler Patrick Jones,Piper Mackenzie Harris,Gabriel Casseus,Jack Conley,Penelope Cruz,Niecy Nash,Justin Mentell,Loudon Wainwright III,Chris Ellis Jr.,Hoyt Yeatman IV,Max Favreau,Travis Davis,James Huang,Corey Michael Eubanks,Steve Kelso,Eddie Yansick,Troy Robinson,Mini Anden,Cameron Engels,Michael Papajohn,Algerita Wynn Lewis,Bob Sherer,Jennifer England,Jason Hellmann,Nicholas L. Teta	NA	NA	Jul 24, 2009 wide	Action & Adventure,Comedy,Kids & Family,Science Fiction & Fantasy	Walt Disney Pictures	Hoyt Yeatman, Hoyt Yeatman IV	90 minutes	$119,420,252	PG (for some mild action and rude humor)	Tim Firth, Terry Rossio, Ted Elliott, Cormac Wibberley, Marianne Wibberley
The Women	37%	13%	Meg Ryan,Annette Bening,Eva Mendes,Debra Messing,Bette Midler,Candice Bergen,Carrie Fisher,Cloris Leachman,Debi Mazar,India Ennenga,Joanna Gleason,Ana Gasteyer,Lynn Whitfield,Tilly Scott Pedersen,Jill Flint,Jada Pinkett Smith	NA	NA	Sep 4, 2008 wide	Comedy,Drama	Picturehouse Entertainment	Diane English	114 minutes	$26,814,683	PG-13 (for sex-related material, language, some drug use and brief smoking)	Diane English
Night and Day	67%	92%	Hwang Soo-jung,Park Eun-heui,Seo Min-Yeong,Yeong-ho Kim,Kim Yu-jin,Ju-bong Gi,Jeong Ji-Hye,Lee Sun-gyun	NA	NA	Oct 23, 2009 wide	Art House & International,Drama	IFC Films	Hong Sang-soo	145 minutes	NA	NR	Hong Sang-soo
Old Dogs	44%	5%	John Travolta,Robin Williams,Seth Green,Kelly Preston,Conner Rayburn,Lori Loughlin,Ella Bleu Travolta,Lori Laughlin,Bernie Mac,Matt Dillon,Ann-Margret,Rita Wilson,Amy Sedaris,Residente,Sab Shimono,Kevin Yamada,Kevin Dean-Hackett,Laura Allen,Sam Travolta,Margaret Travolta,Nick Loren,Kenneth Maharaj,Nova Mejia,Margaret Goodman,Jerome Weinstein,Allie Woods Jr.,Michael Enright,Alexa Havins,Keenan Shimizu,Akira Takayama,Shiro Oishi,Yoshio Mita,Seiji Kakizaki,Keisuke Jim Nagahama,Dominick Riccardi,Costas Panay,Kate Lacey,Denise Violante,Tonia-Marie Gallo,Jin Hwa Hwang,Marcel Becker,Alison Pelletier,Dylan Sprayberry,Bradley Steven Perry,Joey Pordan	NA	NA	Nov 25, 2009 wide	Comedy,Drama,Kids & Family	Walt Disney Pictures	Walt Becker	88 minutes	$49,474,048	PG (for some mild rude humor)	David Diamond, David Weissman
The Promotion	28%	53%	Seann William Scott,Steven Conrad,John C. Reilly,Jenna Fischer,Lili Taylor,Fred Armisen,Gil Bellows,Bobby Cannavale,Rick Gonzalez,Chris Conrad	NA	NA	Mar 9, 2008 wide	Comedy	Weinstein Company	Steven Conrad	86 minutes	$362,531	R (for language including sexual references, and some drug use)	Steven Conrad
The Auteur	41%	67%	Melik Malkasian,John Breen,Katherine Flynn,Cara Seymour,Victor Morris,Michael Fetters,Katie O'Grady,Ritah Parrish,Casey McFeron,Ron Jeremy	NA	NA	Jan 1, 2008 wide	Comedy	FilmBuff	James Westby	76 minutes	NA	NR	James Westby
Alvin and the Chipmunks: The Squeakquel	49%	20%	Justin Long,Matthew Gray Gubler,Jesse McCartney,Amy Poehler,Anna Faris,Christina Applegate,Eric Bauza,Sean Astin,Zachary Levi,David Cross,Wendy Malick,Jason Lee,Wendie Malick,Anjelah N. Johnson,Kathryn Joosten,Kevin G. Schmidt,Chris Warren Jr.,Bridgit Mendler,Aimee Carrero,Alexandra Shipp,Gregg Binkley,Charice Pempengco,Bernard White,Adele Jacques,Joy Osmanski,Archie Hahn III,Lanny Joon,Brando Eaton,Michael Bruno,Andrew Lee,Alexander Noyes,Jason Rosen,Ali Mikles,Marty Dew,Mihran Kirakosian,Janelle Ginestra,Thomasina Gross,Rachele Brooke Smith,Daniel Ryan Conferido,Ryan Feng,Brian Hirano,Victor Kim,Hokuto Konishi,Dominic Sandoval,Steven Terada	NA	NA	Dec 23, 2009 wide	Animation,Comedy,Kids & Family	20th Century Fox	Betty Thomas	88 minutes	$219,304,216	PG (for some mild rude humor)	Jon Vitti, Jonathan Aibel, Glenn Berger, Ross Bagdasarian Sr., Janice Karman
Ripple Effect	25%	29%	Philippe Caland,Forest Whitaker,Virginia Madsen,Minnie Driver,Kali Rocha,John Billingsley,Jerry Katell,Orlando Seale,Kip Pardue,Joanna Krupa,Zareh Boyadjian,Robin Arcuri,Elena Satine,Robert Belinoff,Sandra Lajer,Charley Mae Caland,Bryan Black,Lisa Udasco,Brian Fox,William Butterworth,Jamie Abrahms,Frank Angiuli,Ken Sylk,Lisa Danielle,Susan Knego,Betsy Clark,Denise Crosby,Melissa Sopousek,Michael T. Weiss,Gwendolyn Bailey,Gerard Guez,Kelli Nordhus,Mohamed Hadid,Diego Brasoli,Michel Nahas	NA	NA	Jul 11, 2008 wide	Drama	Monterey Media	Philippe Caland	82 minutes	NA	R (for language)	Philippe Caland
